X,Y,id,left,top,right,bottom,row_index,col_index
121.359211019162,24.8965626813244,614,285789.21,2754868.6283,286789.21,2753868.6283,45,8
121.359184900207,24.8875343460444,615,285789.21,2753868.6283,286789.21,2752868.6283,46,8
121.359158793919,24.8785059998185,616,285789.21,2752868.6283,286789.21,2751868.6283,47,8
121.359132700292,24.8694776426498,617,285789.21,2751868.6283,286789.21,2750868.6283,48,8
121.359106619324,24.860449274541,618,285789.21,2750868.6283,286789.21,2749868.6283,49,8
121.359080551009,24.8514208954952,619,285789.21,2749868.6283,286789.21,2748868.6283,50,8
121.359054495344,24.8423925055152,620,285789.21,2748868.6283,286789.21,2747868.6283,51,8
121.359028452326,24.833364104604,621,285789.21,2747868.6283,286789.21,2746868.6283,52,8
121.369866205356,25.1493271776701,657,286789.21,2782868.6283,287789.21,2781868.6283,17,9
121.369839000591,25.1402991600171,658,286789.21,2781868.6283,287789.21,2780868.6283,18,9
121.369811808958,25.1312711313359,659,286789.21,2780868.6283,287789.21,2779868.6283,19,9
121.369784630453,25.1222430916294,660,286789.21,2779868.6283,287789.21,2778868.6283,20,9
121.369757465072,25.1132150409004,661,286789.21,2778868.6283,287789.21,2777868.6283,21,9
121.369730312811,25.1041869791518,662,286789.21,2777868.6283,287789.21,2776868.6283,22,9
121.369703173666,25.0951589063866,663,286789.21,2776868.6283,287789.21,2775868.6283,23,9
121.369676047631,25.0861308226076,664,286789.21,2775868.6283,287789.21,2774868.6283,24,9
121.369648934704,25.0771027278176,665,286789.21,2774868.6283,287789.21,2773868.6283,25,9
121.369621834879,25.0680746220196,666,286789.21,2773868.6283,287789.21,2772868.6283,26,9
121.369594748153,25.0590465052164,667,286789.21,2772868.6283,287789.21,2771868.6283,27,9
121.36937852539,24.9868211749524,675,286789.21,2764868.6283,287789.21,2763868.6283,35,9
121.369351556362,24.9777929592329,676,286789.21,2763868.6283,287789.21,2762868.6283,36,9
121.369324600391,24.9687647325372,677,286789.21,2762868.6283,287789.21,2761868.6283,37,9
121.369297657473,24.9597364948681,678,286789.21,2761868.6283,287789.21,2760868.6283,38,9
121.369270727603,24.9507082462286,679,286789.21,2760868.6283,287789.21,2759868.6283,39,9
121.369243810777,24.9416799866216,680,286789.21,2759868.6283,287789.21,2758868.6283,40,9
121.369216906992,24.9326517160499,681,286789.21,2758868.6283,287789.21,2757868.6283,41,9
121.369190016242,24.9236234345165,682,286789.21,2757868.6283,287789.21,2756868.6283,42,9
121.369163138524,24.9145951420243,683,286789.21,2756868.6283,287789.21,2755868.6283,43,9
121.369136273833,24.9055668385762,684,286789.21,2755868.6283,287789.21,2754868.6283,44,9
121.369109422166,24.896538524175,685,286789.21,2754868.6283,287789.21,2753868.6283,45,9
121.369082583517,24.8875101988237,686,286789.21,2753868.6283,287789.21,2752868.6283,46,9
121.369055757884,24.8784818625252,687,286789.21,2752868.6283,287789.21,2751868.6283,47,9
121.369028945262,24.8694535152824,688,286789.21,2751868.6283,287789.21,2750868.6283,48,9
121.369002145647,24.8604251570982,689,286789.21,2750868.6283,287789.21,2749868.6283,49,9
121.368975359034,24.8513967879756,690,286789.21,2749868.6283,287789.21,2748868.6283,50,9
121.36894858542,24.8423684079173,691,286789.21,2748868.6283,287789.21,2747868.6283,51,9
